path,label,class_id
./detector_dataset\genuine\extra__n004722__0203_01.jpg,0,n004722
./detector_dataset\adversarial\BIM_iter5__eps_0_010__n003727__0168_01.png,1,n003727
./detector_dataset\adversarial\DeepFool__1000_iter_10_eps_1e-06__n000973__0168_01.jpg,1,n000973
./detector_dataset\genuine\orig__n004530__0213_01.jpg,0,n004530
./detector_dataset\genuine\orig__n002818__0089_01.jpg,0,n002818
./detector_dataset\adversarial\CW_Untargeted__iter_20_lr_0_1_c_0_0__n000227.jpg,1,n000227
./detector_dataset\genuine\extra__n003666__0083_01.jpg,0,n003666
./detector_dataset\genuine\orig__n003666__0184_01.jpg,0,n003666
./detector_dataset\adversarial\BIM_Targeted_Fixed_iter5__eps_0_030__n003727__0434_02.png,1,n003727
./detector_dataset\genuine\extra__n006971__0052_02.jpg,0,n006971
./detector_dataset\genuine\extra__n005438__0134_01.jpg,0,n005438
./detector_dataset\genuine\extra__n003045__0203_01.jpg,0,n003045
./detector_dataset\genuine\extra__n001266__0074_01.jpg,0,n001266
./detector_dataset\adversarial\CW_Untargeted__iter_5_lr_0_01_c_0_0__n004988.jpg,1,n004988
./detector_dataset\adversarial\PGD_Targeted_Fixed_nri3_iter5__eps_0_030__n009216__0198_02.png,1,n009216
./detector_dataset\genuine\extra__n003806__0373_01.jpg,0,n003806
./detector_dataset\adversarial\CW_Untargeted__iter_10_lr_0_1_c_0_0__n003064.jpg,1,n003064
./detector_dataset\genuine\extra__n003376__0246_01.jpg,0,n003376
./detector_dataset\adversarial\FGSM_Targeted_Fixed__eps_0_100__n000879__0168_01.png,1,n000879
./detector_dataset\adversarial\PGD_Targeted_Fixed_nri1_iter40__eps_0_100__n007881__0216_05.png,1,n007881
./detector_dataset\adversarial\BIM_Targeted_Fixed_iter10__eps_0_010__n001664__0203_02.png,1,n001664
./detector_dataset\genuine\orig__n004055__0394_01.jpg,0,n004055
./detector_dataset\adversarial\CW_Untargeted__iter_10_lr_0_01_c_0_0__n000227.jpg,1,n000227
./detector_dataset\genuine\extra__n001116__0037_01.jpg,0,n001116
./detector_dataset\adversarial\FGSM__eps_0_010__n004530__0257_01.png,1,n004530
./detector_dataset\genuine\extra__n002694__0024_01.jpg,0,n002694
./detector_dataset\genuine\extra__n003181__0102_01.jpg,0,n003181
./detector_dataset\adversarial\FGSM_Targeted_Fixed__eps_0_010__n001693__0251_01.png,1,n001693
./detector_dataset\adversarial\FGSM__eps_0_005__n005106__0213_01.png,1,n005106
./detector_dataset\adversarial\FGSM__eps_0_010__n001638__0115_01.png,1,n001638
./detector_dataset\genuine\orig__n001266__0184_01.jpg,0,n001266
