attack_name,max_iter,eps_step,epsilon,correct_predictions,total_images,accuracy,time_elapsed_s
BIM,1,0.001,0.001,771,1000,77.1,20.34
BIM,1,0.003,0.003,458,1000,45.8,19.64
BIM,1,0.005,0.005,228,1000,22.8,18.99
BIM,1,0.01,0.01,67,1000,6.7,17.4
BIM,1,0.03,0.03,16,1000,1.6,17.08
BIM,1,0.05,0.05,7,1000,0.7,16.33
BIM,1,0.1,0.1,1,1000,0.1,16.5
BIM,5,0.0002,0.001,766,1000,76.6,30.2
BIM,5,0.0006,0.003,412,1000,41.2,30.65
BIM,5,0.001,0.005,158,1000,15.8,30.19
BIM,5,0.002,0.01,26,1000,2.6,30.27
BIM,5,0.006,0.03,1,1000,0.1,27.04
BIM,5,0.01,0.05,1,1000,0.1,27.06
BIM,5,0.02,0.1,0,1000,0.0,26.01
BIM,10,0.0001,0.001,767,1000,76.7,44.91
BIM,10,0.0003,0.003,404,1000,40.4,45.34
BIM,10,0.0005,0.005,149,1000,14.9,45.42
BIM,10,0.001,0.01,20,1000,2.0,44.38
BIM,10,0.003,0.03,1,1000,0.1,42.4
BIM,10,0.005,0.05,1,1000,0.1,42.11
BIM,10,0.01,0.1,0,1000,0.0,41.24
BIM,20,5e-05,0.001,767,1000,76.7,73.94
BIM,20,0.00015,0.003,402,1000,40.2,73.68
BIM,20,0.00025,0.005,148,1000,14.8,74.0
BIM,20,0.0005,0.01,18,1000,1.8,73.9
BIM,20,0.0015,0.03,1,1000,0.1,71.65
BIM,20,0.0025,0.05,1,1000,0.1,71.49
BIM,20,0.005,0.1,1,1000,0.1,70.58
