attack_name,target_mode,max_iter,eps_step,epsilon,successful_attacks,total_images,attack_success_rate,time_elapsed_s
BIM_Targeted_Fixed,Fixed,1,0.001,0.001,0,1000,0.0,18.31
BIM_Targeted_Fixed,Fixed,1,0.003,0.003,0,1000,0.0,18.5
BIM_Targeted_Fixed,Fixed,1,0.005,0.005,3,1000,0.3,17.27
BIM_Targeted_Fixed,Fixed,1,0.01,0.01,17,1000,1.7,16.38
BIM_Targeted_Fixed,Fixed,1,0.03,0.03,80,1000,8.0,16.6
BIM_Targeted_Fixed,Fixed,1,0.05,0.05,80,1000,8.0,16.58
BIM_Targeted_Fixed,Fixed,1,0.1,0.1,49,1000,4.9,17.13
BIM_Targeted_Fixed,Fixed,5,0.0002,0.001,0,1000,0.0,90.9
BIM_Targeted_Fixed,Fixed,5,0.0006,0.003,1,1000,0.1,30.05
BIM_Targeted_Fixed,Fixed,5,0.001,0.005,10,1000,1.0,30.9
BIM_Targeted_Fixed,Fixed,5,0.002,0.01,151,1000,15.1,30.1
BIM_Targeted_Fixed,Fixed,5,0.006,0.03,907,1000,90.7,27.54
BIM_Targeted_Fixed,Fixed,5,0.01,0.05,984,1000,98.4,101.17
BIM_Targeted_Fixed,Fixed,5,0.02,0.1,998,1000,99.8,138.63
BIM_Targeted_Fixed,Fixed,10,0.0001,0.001,0,1000,0.0,56.99
BIM_Targeted_Fixed,Fixed,10,0.0003,0.003,1,1000,0.1,104.86
BIM_Targeted_Fixed,Fixed,10,0.0005,0.005,10,1000,1.0,191.12
BIM_Targeted_Fixed,Fixed,10,0.001,0.01,189,1000,18.9,58.93
BIM_Targeted_Fixed,Fixed,10,0.003,0.03,965,1000,96.5,169.2
BIM_Targeted_Fixed,Fixed,10,0.005,0.05,999,1000,99.9,123.86
BIM_Targeted_Fixed,Fixed,10,0.01,0.1,1000,1000,100.0,107.7
BIM_Targeted_Fixed,Fixed,20,5e-05,0.001,0,1000,0.0,232.81
BIM_Targeted_Fixed,Fixed,20,0.00015,0.003,1,1000,0.1,276.0
BIM_Targeted_Fixed,Fixed,20,0.00025,0.005,10,1000,1.0,194.35
BIM_Targeted_Fixed,Fixed,20,0.0005,0.01,205,1000,20.5,164.79
BIM_Targeted_Fixed,Fixed,20,0.0015,0.03,984,1000,98.4,270.55
BIM_Targeted_Fixed,Fixed,20,0.0025,0.05,1000,1000,100.0,214.46
BIM_Targeted_Fixed,Fixed,20,0.005,0.1,1000,1000,100.0,133.02
