attack_name,target_mode,max_iter,epsilon,nn1_asr,nn2_asr,nn2_successful,total_images,time_elapsed_s
BIM_Targeted_Fixed,Fixed,1,0.001,0.0,0.0,0,1000,10.05
BIM_Targeted_Fixed,Fixed,1,0.003,0.0,0.0,0,1000,9.92
BIM_Targeted_Fixed,Fixed,1,0.005,0.3,0.0,0,1000,9.96
BIM_Targeted_Fixed,Fixed,1,0.01,1.6,0.0,0,1000,9.92
BIM_Targeted_Fixed,Fixed,1,0.03,8.0,0.5,5,1000,9.9
BIM_Targeted_Fixed,Fixed,1,0.05,8.1,0.5,5,1000,10.41
BIM_Targeted_Fixed,Fixed,1,0.1,4.8,1.8,18,1000,10.0
BIM_Targeted_Fixed,Fixed,5,0.001,0.0,0.0,0,1000,9.96
BIM_Targeted_Fixed,Fixed,5,0.003,0.1,0.0,0,1000,10.06
BIM_Targeted_Fixed,Fixed,5,0.005,1.0,0.0,0,1000,9.91
BIM_Targeted_Fixed,Fixed,5,0.01,15.2,0.0,0,1000,10.2
BIM_Targeted_Fixed,Fixed,5,0.03,90.8,0.8,8,1000,10.19
BIM_Targeted_Fixed,Fixed,5,0.05,99.1,2.6,26,1000,10.12
BIM_Targeted_Fixed,Fixed,5,0.1,99.8,7.8,78,1000,10.13
BIM_Targeted_Fixed,Fixed,10,0.001,0.0,0.0,0,1000,10.0
BIM_Targeted_Fixed,Fixed,10,0.003,0.1,0.0,0,1000,9.96
BIM_Targeted_Fixed,Fixed,10,0.005,1.0,0.0,0,1000,10.31
BIM_Targeted_Fixed,Fixed,10,0.01,18.6,0.0,0,1000,10.18
BIM_Targeted_Fixed,Fixed,10,0.03,96.8,0.7,7,1000,9.94
BIM_Targeted_Fixed,Fixed,10,0.05,99.9,1.6,16,1000,10.18
BIM_Targeted_Fixed,Fixed,10,0.1,100.0,6.3,63,1000,10.26
BIM_Targeted_Fixed,Fixed,20,0.001,0.0,0.0,0,1000,10.41
BIM_Targeted_Fixed,Fixed,20,0.003,0.1,0.0,0,1000,9.93
BIM_Targeted_Fixed,Fixed,20,0.005,1.0,0.0,0,1000,10.07
BIM_Targeted_Fixed,Fixed,20,0.01,20.6,0.0,0,1000,10.15
BIM_Targeted_Fixed,Fixed,20,0.03,98.5,0.5,5,1000,9.95
BIM_Targeted_Fixed,Fixed,20,0.05,100.0,1.3,13,1000,10.15
BIM_Targeted_Fixed,Fixed,20,0.1,100.0,3.0,30,1000,9.99
