attack_name,target_mode,max_iter,epsilon,nn1_asr,nn2_asr,nn2_successful,total_images,time_elapsed_s
BIM_Targeted_LeastLikely,LeastLikely,1,0.001,0.0,0.0,0,1000,4.3
BIM_Targeted_LeastLikely,LeastLikely,1,0.003,0.0,0.0,0,1000,4.12
BIM_Targeted_LeastLikely,LeastLikely,1,0.005,0.0,0.0,0,1000,4.02
BIM_Targeted_LeastLikely,LeastLikely,1,0.01,0.0,0.0,0,1000,4.13
BIM_Targeted_LeastLikely,LeastLikely,1,0.03,0.0,0.0,0,1000,4.37
BIM_Targeted_LeastLikely,LeastLikely,1,0.05,0.1,0.0,0,1000,5.48
BIM_Targeted_LeastLikely,LeastLikely,1,0.1,0.1,0.0,0,1000,5.61
BIM_Targeted_LeastLikely,LeastLikely,5,0.001,0.0,0.0,0,1000,4.36
BIM_Targeted_LeastLikely,LeastLikely,5,0.003,0.0,0.0,0,1000,4.27
BIM_Targeted_LeastLikely,LeastLikely,5,0.005,0.0,0.0,0,1000,5.38
BIM_Targeted_LeastLikely,LeastLikely,5,0.01,0.2,0.0,0,1000,4.35
BIM_Targeted_LeastLikely,LeastLikely,5,0.03,46.9,0.0,0,1000,4.42
BIM_Targeted_LeastLikely,LeastLikely,5,0.05,86.0,0.0,0,1000,4.49
BIM_Targeted_LeastLikely,LeastLikely,5,0.1,96.2,2.7,27,1000,5.59
BIM_Targeted_LeastLikely,LeastLikely,10,0.001,0.0,0.0,0,1000,5.24
BIM_Targeted_LeastLikely,LeastLikely,10,0.003,0.0,0.0,0,1000,4.11
BIM_Targeted_LeastLikely,LeastLikely,10,0.005,0.0,0.0,0,1000,4.24
BIM_Targeted_LeastLikely,LeastLikely,10,0.01,0.3,0.0,0,1000,5.26
BIM_Targeted_LeastLikely,LeastLikely,10,0.03,65.6,0.0,0,1000,5.3
BIM_Targeted_LeastLikely,LeastLikely,10,0.05,96.4,0.0,0,1000,5.25
BIM_Targeted_LeastLikely,LeastLikely,10,0.1,100.0,2.0,20,1000,4.28
BIM_Targeted_LeastLikely,LeastLikely,20,0.001,0.0,0.0,0,1000,4.85
BIM_Targeted_LeastLikely,LeastLikely,20,0.003,0.0,0.0,0,1000,5.11
BIM_Targeted_LeastLikely,LeastLikely,20,0.005,0.0,0.0,0,1000,5.32
BIM_Targeted_LeastLikely,LeastLikely,20,0.01,0.3,0.0,0,1000,5.29
BIM_Targeted_LeastLikely,LeastLikely,20,0.03,75.1,0.0,0,1000,5.2
BIM_Targeted_LeastLikely,LeastLikely,20,0.05,99.2,0.2,2,1000,4.59
BIM_Targeted_LeastLikely,LeastLikely,20,0.1,100.0,0.9,9,1000,5.08
