attack_name,max_iter,epsilon,nn1_accuracy,nn2_accuracy,nn2_correct,total_images,time_elapsed_s
BIM,1,0.001,77.1,86.7,867,1000,14.22
BIM,1,0.003,45.9,86.7,867,1000,13.89
BIM,1,0.005,22.8,78.8,788,1000,13.9
BIM,1,0.01,6.7,66.6,666,1000,13.9
BIM,1,0.03,1.6,20.1,201,1000,14.04
BIM,1,0.05,0.7,5.9,59,1000,14.39
BIM,1,0.1,0.1,0.7,7,1000,14.23
BIM,5,0.001,76.6,86.5,865,1000,13.61
BIM,5,0.003,41.2,86.7,867,1000,13.21
BIM,5,0.005,15.8,79.3,793,1000,13.59
BIM,5,0.01,2.6,65.7,657,1000,13.74
BIM,5,0.03,0.1,19.4,194,1000,13.33
BIM,5,0.05,0.1,6.4,64,1000,12.72
BIM,5,0.1,0.0,0.9,9,1000,13.22
BIM,10,0.001,76.7,86.5,865,1000,13.19
BIM,10,0.003,40.4,86.6,866,1000,13.31
BIM,10,0.005,14.9,78.8,788,1000,13.81
BIM,10,0.01,2.0,65.7,657,1000,13.5
BIM,10,0.03,0.1,20.4,204,1000,13.91
BIM,10,0.05,0.1,7.2,72,1000,13.93
BIM,10,0.1,0.0,2.4,24,1000,13.96
BIM,20,0.001,76.7,86.6,866,1000,13.88
BIM,20,0.003,40.2,86.6,866,1000,13.83
BIM,20,0.005,14.8,78.7,787,1000,13.97
BIM,20,0.01,1.8,66.0,660,1000,13.52
BIM,20,0.03,0.1,21.5,215,1000,13.56
BIM,20,0.05,0.1,10.4,104,1000,13.68
BIM,20,0.1,0.1,3.5,35,1000,13.99
