attack_name,max_iter,learning_rate,confidence,nn1_accuracy,nn2_accuracy,nn2_correct,total_images,mean_linf,time_elapsed_s
CW_Untargeted,1,0.001,0.0,82.0,90.0,90,100,0.0001,0.25
CW_Untargeted,1,0.001,0.5,82.0,90.0,90,100,0.0001,0.22
CW_Untargeted,1,0.001,1.0,82.0,90.0,90,100,0.0001,0.22
CW_Untargeted,1,0.01,0.0,28.0,84.0,84,100,0.0038,0.23
CW_Untargeted,1,0.01,0.5,28.0,84.0,84,100,0.0038,0.23
CW_Untargeted,1,0.01,1.0,28.0,84.0,84,100,0.0038,0.22
CW_Untargeted,1,0.05,0.0,3.0,42.0,42,100,0.025,0.22
CW_Untargeted,1,0.05,0.5,3.0,42.0,42,100,0.025,0.22
CW_Untargeted,1,0.05,1.0,3.0,42.0,42,100,0.025,0.23
CW_Untargeted,1,0.1,0.0,2.0,12.0,12,100,0.05,0.23
CW_Untargeted,1,0.1,0.5,2.0,12.0,12,100,0.05,0.22
CW_Untargeted,1,0.1,1.0,2.0,12.0,12,100,0.05,0.22
CW_Untargeted,5,0.001,0.0,57.0,89.0,89,100,0.0006,0.22
CW_Untargeted,5,0.001,0.5,57.0,89.0,89,100,0.0006,0.22
CW_Untargeted,5,0.001,1.0,57.0,89.0,89,100,0.0007,0.22
CW_Untargeted,5,0.01,0.0,4.0,84.0,84,100,0.0064,0.22
CW_Untargeted,5,0.01,0.5,4.0,84.0,84,100,0.0064,0.22
CW_Untargeted,5,0.01,1.0,4.0,84.0,84,100,0.0064,0.22
CW_Untargeted,5,0.05,0.0,3.0,42.0,42,100,0.025,0.22
CW_Untargeted,5,0.05,0.5,3.0,42.0,42,100,0.025,0.22
CW_Untargeted,5,0.05,1.0,3.0,42.0,42,100,0.025,0.22
CW_Untargeted,5,0.1,0.0,2.0,12.0,12,100,0.05,0.22
CW_Untargeted,5,0.1,0.5,2.0,12.0,12,100,0.05,0.22
CW_Untargeted,5,0.1,1.0,2.0,12.0,12,100,0.05,0.22
CW_Untargeted,10,0.001,0.0,26.0,87.0,87,100,0.0019,0.22
CW_Untargeted,10,0.001,0.5,26.0,87.0,87,100,0.0019,0.22
CW_Untargeted,10,0.001,1.0,26.0,87.0,87,100,0.002,0.22
CW_Untargeted,10,0.01,0.0,4.0,84.0,84,100,0.0064,0.23
CW_Untargeted,10,0.01,0.5,4.0,84.0,84,100,0.0064,0.22
CW_Untargeted,10,0.01,1.0,4.0,84.0,84,100,0.0064,0.22
CW_Untargeted,10,0.05,0.0,3.0,42.0,42,100,0.025,0.22
CW_Untargeted,10,0.05,0.5,3.0,42.0,42,100,0.025,0.22
CW_Untargeted,10,0.05,1.0,3.0,42.0,42,100,0.025,0.22
CW_Untargeted,10,0.1,0.0,2.0,12.0,12,100,0.05,0.22
CW_Untargeted,10,0.1,0.5,2.0,12.0,12,100,0.05,0.22
CW_Untargeted,10,0.1,1.0,2.0,12.0,12,100,0.05,0.22
