attack_name,max_iter,epsilon,nn1_accuracy,nn2_accuracy,nn2_correct,total_images,mean_linf,time_elapsed_s
DeepFool,1,0.1,0.0,68.37,67,98,0.0,0.47
DeepFool,1,1.0,0.0,53.73,36,67,0.0,0.25
DeepFool,5,0.1,0.0,66.32,63,95,0.0,0.26
DeepFool,5,1.0,0.0,46.67,28,60,0.0,0.16
DeepFool,10,0.1,0.0,67.02,63,94,0.0,0.24
DeepFool,10,1.0,0.0,46.67,28,60,0.0,0.14
DeepFool,20,0.1,0.0,67.02,63,94,0.0,0.25
DeepFool,20,1.0,0.0,46.67,28,60,0.0,0.16
DeepFool,50,0.1,0.0,67.02,63,94,0.0,0.24
DeepFool,50,1.0,0.0,46.67,28,60,0.0,0.15
