attack_name,num_random_init,max_iter,eps_step,epsilon,correct_predictions,total_images,accuracy,time_elapsed_s
PGD,0,1,0.001,0.001,771,1000,77.1,19.23
PGD,0,1,0.003,0.003,457,1000,45.7,18.32
PGD,0,1,0.005,0.005,227,1000,22.7,17.53
PGD,0,1,0.01,0.01,68,1000,6.8,16.51
PGD,0,1,0.03,0.03,17,1000,1.7,16.49
PGD,0,1,0.05,0.05,7,1000,0.7,15.74
PGD,0,1,0.1,0.1,1,1000,0.1,16.04
PGD,0,5,0.0002,0.001,766,1000,76.6,31.18
PGD,0,5,0.0006,0.003,411,1000,41.1,31.49
PGD,0,5,0.001,0.005,155,1000,15.5,31.49
PGD,0,5,0.002,0.01,26,1000,2.6,31.13
PGD,0,5,0.006,0.03,1,1000,0.1,29.17
PGD,0,5,0.01,0.05,1,1000,0.1,27.7
PGD,0,5,0.02,0.1,0,1000,0.0,26.93
PGD,0,10,0.0001,0.001,767,1000,76.7,46.95
PGD,0,10,0.0003,0.003,403,1000,40.3,46.99
PGD,0,10,0.0005,0.005,150,1000,15.0,47.48
PGD,0,10,0.001,0.01,20,1000,2.0,47.91
PGD,0,10,0.003,0.03,1,1000,0.1,44.77
PGD,0,10,0.005,0.05,1,1000,0.1,43.35
PGD,0,10,0.01,0.1,0,1000,0.0,42.57
PGD,0,20,5e-05,0.001,767,1000,76.7,69.49
PGD,0,20,0.00015,0.003,401,1000,40.1,69.38
PGD,0,20,0.00025,0.005,149,1000,14.9,70.0
PGD,0,20,0.0005,0.01,18,1000,1.8,69.26
PGD,0,20,0.0015,0.03,1,1000,0.1,66.51
PGD,0,20,0.0025,0.05,1,1000,0.1,65.28
PGD,0,20,0.005,0.1,0,1000,0.0,64.11
PGD,0,40,2.5e-05,0.001,767,1000,76.7,121.65
PGD,0,40,7.5e-05,0.003,400,1000,40.0,121.61
PGD,0,40,0.000125,0.005,147,1000,14.7,122.04
PGD,0,40,0.00025,0.01,17,1000,1.7,121.72
PGD,0,40,0.00075,0.03,1,1000,0.1,119.16
PGD,0,40,0.00125,0.05,1,1000,0.1,117.91
PGD,0,40,0.0025,0.1,1,1000,0.1,117.1
PGD,1,1,0.001,0.001,794,1000,79.4,20.91
PGD,1,1,0.003,0.003,572,1000,57.2,20.15
PGD,1,1,0.005,0.005,368,1000,36.8,20.17
PGD,1,1,0.01,0.01,122,1000,12.2,18.47
PGD,1,1,0.03,0.03,19,1000,1.9,15.12
PGD,1,1,0.05,0.05,11,1000,1.1,14.7
PGD,1,1,0.1,0.1,3,1000,0.3,14.59
PGD,1,5,0.0002,0.001,791,1000,79.1,31.33
PGD,1,5,0.0006,0.003,540,1000,54.0,30.67
PGD,1,5,0.001,0.005,272,1000,27.2,31.41
PGD,1,5,0.002,0.01,52,1000,5.2,29.14
PGD,1,5,0.006,0.03,1,1000,0.1,25.35
PGD,1,5,0.01,0.05,1,1000,0.1,25.05
PGD,1,5,0.02,0.1,0,1000,0.0,24.58
PGD,1,10,0.0001,0.001,789,1000,78.9,43.96
PGD,1,10,0.0003,0.003,532,1000,53.2,43.87
PGD,1,10,0.0005,0.005,260,1000,26.0,44.21
PGD,1,10,0.001,0.01,44,1000,4.4,41.89
PGD,1,10,0.003,0.03,2,1000,0.2,38.41
PGD,1,10,0.005,0.05,1,1000,0.1,37.99
PGD,1,10,0.01,0.1,0,1000,0.0,37.65
PGD,1,20,5e-05,0.001,790,1000,79.0,69.84
PGD,1,20,0.00015,0.003,532,1000,53.2,70.51
PGD,1,20,0.00025,0.005,251,1000,25.1,71.4
PGD,1,20,0.0005,0.01,43,1000,4.3,68.07
PGD,1,20,0.0015,0.03,4,1000,0.4,64.72
PGD,1,20,0.0025,0.05,1,1000,0.1,64.21
PGD,1,20,0.005,0.1,1,1000,0.1,63.84
PGD,1,40,2.5e-05,0.001,788,1000,78.8,122.44
PGD,1,40,7.5e-05,0.003,532,1000,53.2,123.0
PGD,1,40,0.000125,0.005,253,1000,25.3,122.89
PGD,1,40,0.00025,0.01,41,1000,4.1,120.82
PGD,1,40,0.00075,0.03,3,1000,0.3,117.07
PGD,1,40,0.00125,0.05,2,1000,0.2,116.63
PGD,1,40,0.0025,0.1,2,1000,0.2,116.07
PGD,3,1,0.001,0.001,793,1000,79.3,32.2
PGD,3,1,0.003,0.003,569,1000,56.9,32.04
PGD,3,1,0.005,0.005,357,1000,35.7,31.87
PGD,3,1,0.01,0.01,111,1000,11.1,30.06
PGD,3,1,0.03,0.03,16,1000,1.6,26.58
PGD,3,1,0.05,0.05,12,1000,1.2,26.05
PGD,3,1,0.1,0.1,2,1000,0.2,25.87
PGD,3,5,0.0002,0.001,790,1000,79.0,63.0
PGD,3,5,0.0006,0.003,536,1000,53.6,63.6
PGD,3,5,0.001,0.005,266,1000,26.6,63.21
PGD,3,5,0.002,0.01,48,1000,4.8,61.29
PGD,3,5,0.006,0.03,2,1000,0.2,57.78
PGD,3,5,0.01,0.05,0,1000,0.0,57.37
PGD,3,5,0.02,0.1,0,1000,0.0,56.87
PGD,3,10,0.0001,0.001,788,1000,78.8,102.24
PGD,3,10,0.0003,0.003,530,1000,53.0,102.5
PGD,3,10,0.0005,0.005,254,1000,25.4,102.26
PGD,3,10,0.001,0.01,45,1000,4.5,100.33
PGD,3,10,0.003,0.03,2,1000,0.2,96.67
PGD,3,10,0.005,0.05,1,1000,0.1,96.47
PGD,3,10,0.01,0.1,0,1000,0.0,95.75
PGD,3,20,5e-05,0.001,787,1000,78.7,179.93
PGD,3,20,0.00015,0.003,528,1000,52.8,180.9
PGD,3,20,0.00025,0.005,248,1000,24.8,181.28
PGD,3,20,0.0005,0.01,41,1000,4.1,178.52
PGD,3,20,0.0015,0.03,3,1000,0.3,175.31
PGD,3,20,0.0025,0.05,1,1000,0.1,174.78
PGD,3,20,0.005,0.1,1,1000,0.1,174.19
PGD,3,40,2.5e-05,0.001,788,1000,78.8,337.09
PGD,3,40,7.5e-05,0.003,529,1000,52.9,337.47
PGD,3,40,0.000125,0.005,246,1000,24.6,337.33
PGD,3,40,0.00025,0.01,39,1000,3.9,335.49
PGD,3,40,0.00075,0.03,3,1000,0.3,332.44
PGD,3,40,0.00125,0.05,1,1000,0.1,331.39
PGD,3,40,0.0025,0.1,0,1000,0.0,332.26
PGD,5,1,0.001,0.001,792,1000,79.2,43.03
PGD,5,1,0.003,0.003,569,1000,56.9,42.35
PGD,5,1,0.005,0.005,353,1000,35.3,42.86
PGD,5,1,0.01,0.01,110,1000,11.0,41.33
PGD,5,1,0.03,0.03,16,1000,1.6,37.73
PGD,5,1,0.05,0.05,12,1000,1.2,37.69
PGD,5,1,0.1,0.1,2,1000,0.2,37.54
PGD,5,5,0.0002,0.001,791,1000,79.1,95.14
PGD,5,5,0.0006,0.003,533,1000,53.3,95.94
PGD,5,5,0.001,0.005,260,1000,26.0,95.59
PGD,5,5,0.002,0.01,49,1000,4.9,94.27
PGD,5,5,0.006,0.03,2,1000,0.2,90.71
PGD,5,5,0.01,0.05,1,1000,0.1,90.3
PGD,5,5,0.02,0.1,0,1000,0.0,89.91
PGD,5,10,0.0001,0.001,788,1000,78.8,160.21
PGD,5,10,0.0003,0.003,532,1000,53.2,161.06
PGD,5,10,0.0005,0.005,249,1000,24.9,161.48
PGD,5,10,0.001,0.01,41,1000,4.1,156.14
PGD,5,10,0.003,0.03,1,1000,0.1,155.89
PGD,5,10,0.005,0.05,1,1000,0.1,155.55
PGD,5,10,0.01,0.1,1,1000,0.1,155.05
PGD,5,20,5e-05,0.001,788,1000,78.8,292.83
PGD,5,20,0.00015,0.003,528,1000,52.8,292.85
PGD,5,20,0.00025,0.005,247,1000,24.7,293.08
PGD,5,20,0.0005,0.01,39,1000,3.9,291.22
PGD,5,20,0.0015,0.03,2,1000,0.2,287.82
PGD,5,20,0.0025,0.05,1,1000,0.1,287.52
PGD,5,20,0.005,0.1,1,1000,0.1,287.2
PGD,5,40,2.5e-05,0.001,788,1000,78.8,555.78
PGD,5,40,7.5e-05,0.003,528,1000,52.8,556.59
PGD,5,40,0.000125,0.005,246,1000,24.6,557.16
PGD,5,40,0.00025,0.01,37,1000,3.7,555.06
PGD,5,40,0.00075,0.03,2,1000,0.2,552.27
PGD,5,40,0.00125,0.05,1,1000,0.1,551.77
PGD,5,40,0.0025,0.1,1,1000,0.1,552.19
