attack_name,target_mode,num_random_init,max_iter,eps_step,epsilon,successful_attacks,total_images,attack_success_rate,time_elapsed_s
PGD_Targeted_Fixed,Fixed,0,1,0.001,0.001,0,1000,0.0,15.68
PGD_Targeted_Fixed,Fixed,0,1,0.003,0.003,0,1000,0.0,15.59
PGD_Targeted_Fixed,Fixed,0,1,0.005,0.005,3,1000,0.3,14.73
PGD_Targeted_Fixed,Fixed,0,1,0.01,0.01,16,1000,1.6,13.69
PGD_Targeted_Fixed,Fixed,0,1,0.03,0.03,80,1000,8.0,13.53
PGD_Targeted_Fixed,Fixed,0,1,0.05,0.05,81,1000,8.1,12.95
PGD_Targeted_Fixed,Fixed,0,1,0.1,0.1,48,1000,4.8,13.19
PGD_Targeted_Fixed,Fixed,0,5,0.0002,0.001,0,1000,0.0,26.9
PGD_Targeted_Fixed,Fixed,0,5,0.0006,0.003,1,1000,0.1,27.31
PGD_Targeted_Fixed,Fixed,0,5,0.001,0.005,10,1000,1.0,27.26
PGD_Targeted_Fixed,Fixed,0,5,0.002,0.01,152,1000,15.2,26.74
PGD_Targeted_Fixed,Fixed,0,5,0.006,0.03,908,1000,90.8,24.19
PGD_Targeted_Fixed,Fixed,0,5,0.01,0.05,991,1000,99.1,23.47
PGD_Targeted_Fixed,Fixed,0,5,0.02,0.1,998,1000,99.8,23.06
PGD_Targeted_Fixed,Fixed,0,10,0.0001,0.001,0,1000,0.0,41.38
PGD_Targeted_Fixed,Fixed,0,10,0.0003,0.003,1,1000,0.1,41.71
PGD_Targeted_Fixed,Fixed,0,10,0.0005,0.005,10,1000,1.0,41.84
PGD_Targeted_Fixed,Fixed,0,10,0.001,0.01,186,1000,18.6,41.47
PGD_Targeted_Fixed,Fixed,0,10,0.003,0.03,968,1000,96.8,39.19
PGD_Targeted_Fixed,Fixed,0,10,0.005,0.05,999,1000,99.9,38.04
PGD_Targeted_Fixed,Fixed,0,10,0.01,0.1,1000,1000,100.0,80.5
PGD_Targeted_Fixed,Fixed,0,20,5e-05,0.001,0,1000,0.0,69.68
PGD_Targeted_Fixed,Fixed,0,20,0.00015,0.003,1,1000,0.1,70.2
PGD_Targeted_Fixed,Fixed,0,20,0.00025,0.005,10,1000,1.0,70.35
PGD_Targeted_Fixed,Fixed,0,20,0.0005,0.01,206,1000,20.6,114.65
PGD_Targeted_Fixed,Fixed,0,20,0.0015,0.03,985,1000,98.5,67.79
PGD_Targeted_Fixed,Fixed,0,20,0.0025,0.05,1000,1000,100.0,67.15
PGD_Targeted_Fixed,Fixed,0,20,0.005,0.1,1000,1000,100.0,110.3
PGD_Targeted_Fixed,Fixed,0,40,2.5e-05,0.001,0,1000,0.0,127.34
PGD_Targeted_Fixed,Fixed,0,40,7.5e-05,0.003,1,1000,0.1,172.6
PGD_Targeted_Fixed,Fixed,0,40,0.000125,0.005,11,1000,1.1,174.73
PGD_Targeted_Fixed,Fixed,0,40,0.00025,0.01,217,1000,21.7,127.08
PGD_Targeted_Fixed,Fixed,0,40,0.00075,0.03,989,1000,98.9,171.44
PGD_Targeted_Fixed,Fixed,0,40,0.00125,0.05,1000,1000,100.0,170.38
PGD_Targeted_Fixed,Fixed,0,40,0.0025,0.1,1000,1000,100.0,123.42
PGD_Targeted_Fixed,Fixed,1,1,0.001,0.001,0,1000,0.0,33.02
PGD_Targeted_Fixed,Fixed,1,1,0.003,0.003,0,1000,0.0,36.76
PGD_Targeted_Fixed,Fixed,1,1,0.005,0.005,2,1000,0.2,18.61
PGD_Targeted_Fixed,Fixed,1,1,0.01,0.01,6,1000,0.6,14.4
PGD_Targeted_Fixed,Fixed,1,1,0.03,0.03,61,1000,6.1,12.19
PGD_Targeted_Fixed,Fixed,1,1,0.05,0.05,93,1000,9.3,11.65
PGD_Targeted_Fixed,Fixed,1,1,0.1,0.1,64,1000,6.4,11.51
PGD_Targeted_Fixed,Fixed,1,5,0.0002,0.001,0,1000,0.0,28.07
PGD_Targeted_Fixed,Fixed,1,5,0.0006,0.003,0,1000,0.0,28.09
PGD_Targeted_Fixed,Fixed,1,5,0.001,0.005,3,1000,0.3,27.89
PGD_Targeted_Fixed,Fixed,1,5,0.002,0.01,63,1000,6.3,26.04
PGD_Targeted_Fixed,Fixed,1,5,0.006,0.03,819,1000,81.9,23.32
PGD_Targeted_Fixed,Fixed,1,5,0.01,0.05,961,1000,96.1,23.01
PGD_Targeted_Fixed,Fixed,1,5,0.02,0.1,996,1000,99.6,22.88
PGD_Targeted_Fixed,Fixed,1,10,0.0001,0.001,0,1000,0.0,42.5
PGD_Targeted_Fixed,Fixed,1,10,0.0003,0.003,0,1000,0.0,42.78
PGD_Targeted_Fixed,Fixed,1,10,0.0005,0.005,4,1000,0.4,42.52
PGD_Targeted_Fixed,Fixed,1,10,0.001,0.01,75,1000,7.5,40.6
PGD_Targeted_Fixed,Fixed,1,10,0.003,0.03,905,1000,90.5,55.55
PGD_Targeted_Fixed,Fixed,1,10,0.005,0.05,998,1000,99.8,67.17
PGD_Targeted_Fixed,Fixed,1,10,0.01,0.1,1000,1000,100.0,36.75
PGD_Targeted_Fixed,Fixed,1,20,5e-05,0.001,0,1000,0.0,70.94
PGD_Targeted_Fixed,Fixed,1,20,0.00015,0.003,0,1000,0.0,71.75
PGD_Targeted_Fixed,Fixed,1,20,0.00025,0.005,4,1000,0.4,116.64
PGD_Targeted_Fixed,Fixed,1,20,0.0005,0.01,82,1000,8.2,68.9
PGD_Targeted_Fixed,Fixed,1,20,0.0015,0.03,931,1000,93.1,66.69
PGD_Targeted_Fixed,Fixed,1,20,0.0025,0.05,999,1000,99.9,111.43
PGD_Targeted_Fixed,Fixed,1,20,0.005,0.1,1000,1000,100.0,65.32
PGD_Targeted_Fixed,Fixed,1,40,2.5e-05,0.001,0,1000,0.0,175.33
PGD_Targeted_Fixed,Fixed,1,40,7.5e-05,0.003,0,1000,0.0,175.83
PGD_Targeted_Fixed,Fixed,1,40,0.000125,0.005,4,1000,0.4,127.69
PGD_Targeted_Fixed,Fixed,1,40,0.00025,0.01,84,1000,8.4,173.6
PGD_Targeted_Fixed,Fixed,1,40,0.00075,0.03,947,1000,94.7,169.7
PGD_Targeted_Fixed,Fixed,1,40,0.00125,0.05,1000,1000,100.0,136.46
PGD_Targeted_Fixed,Fixed,1,40,0.0025,0.1,1000,1000,100.0,155.9
PGD_Targeted_Fixed,Fixed,3,1,0.001,0.001,0,1000,0.0,26.39
PGD_Targeted_Fixed,Fixed,3,1,0.003,0.003,0,1000,0.0,26.09
PGD_Targeted_Fixed,Fixed,3,1,0.005,0.005,2,1000,0.2,26.03
PGD_Targeted_Fixed,Fixed,3,1,0.01,0.01,7,1000,0.7,23.88
PGD_Targeted_Fixed,Fixed,3,1,0.03,0.03,64,1000,6.4,21.66
PGD_Targeted_Fixed,Fixed,3,1,0.05,0.05,89,1000,8.9,21.32
PGD_Targeted_Fixed,Fixed,3,1,0.1,0.1,77,1000,7.7,21.12
PGD_Targeted_Fixed,Fixed,3,5,0.0002,0.001,0,1000,0.0,60.59
PGD_Targeted_Fixed,Fixed,3,5,0.0006,0.003,0,1000,0.0,71.6
PGD_Targeted_Fixed,Fixed,3,5,0.001,0.005,4,1000,0.4,95.33
PGD_Targeted_Fixed,Fixed,3,5,0.002,0.01,62,1000,6.2,58.4
PGD_Targeted_Fixed,Fixed,3,5,0.006,0.03,824,1000,82.4,55.86
PGD_Targeted_Fixed,Fixed,3,5,0.01,0.05,963,1000,96.3,104.64
PGD_Targeted_Fixed,Fixed,3,5,0.02,0.1,992,1000,99.2,54.4
PGD_Targeted_Fixed,Fixed,3,10,0.0001,0.001,0,1000,0.0,103.63
PGD_Targeted_Fixed,Fixed,3,10,0.0003,0.003,0,1000,0.0,153.37
PGD_Targeted_Fixed,Fixed,3,10,0.0005,0.005,4,1000,0.4,118.13
PGD_Targeted_Fixed,Fixed,3,10,0.001,0.01,75,1000,7.5,133.27
PGD_Targeted_Fixed,Fixed,3,10,0.003,0.03,906,1000,90.6,147.96
PGD_Targeted_Fixed,Fixed,3,10,0.005,0.05,998,1000,99.8,97.74
PGD_Targeted_Fixed,Fixed,3,10,0.01,0.1,1000,1000,100.0,146.49
PGD_Targeted_Fixed,Fixed,3,20,5e-05,0.001,0,1000,0.0,238.36
PGD_Targeted_Fixed,Fixed,3,20,0.00015,0.003,0,1000,0.0,235.8
PGD_Targeted_Fixed,Fixed,3,20,0.00025,0.005,4,1000,0.4,236.8
PGD_Targeted_Fixed,Fixed,3,20,0.0005,0.01,81,1000,8.1,237.5
PGD_Targeted_Fixed,Fixed,3,20,0.0015,0.03,936,1000,93.6,233.39
PGD_Targeted_Fixed,Fixed,3,20,0.0025,0.05,999,1000,99.9,281.41
PGD_Targeted_Fixed,Fixed,3,20,0.005,0.1,1000,1000,100.0,231.51
PGD_Targeted_Fixed,Fixed,3,40,2.5e-05,0.001,0,1000,0.0,457.69
PGD_Targeted_Fixed,Fixed,3,40,7.5e-05,0.003,0,1000,0.0,465.55
PGD_Targeted_Fixed,Fixed,3,40,0.000125,0.005,4,1000,0.4,657.05
PGD_Targeted_Fixed,Fixed,3,40,0.00025,0.01,84,1000,8.4,447.5
PGD_Targeted_Fixed,Fixed,3,40,0.00075,0.03,943,1000,94.3,845.07
PGD_Targeted_Fixed,Fixed,3,40,0.00125,0.05,999,1000,99.9,633.38
PGD_Targeted_Fixed,Fixed,3,40,0.0025,0.1,1000,1000,100.0,582.93
PGD_Targeted_Fixed,Fixed,5,1,0.001,0.001,0,1000,0.0,37.92
PGD_Targeted_Fixed,Fixed,5,1,0.003,0.003,0,1000,0.0,37.72
PGD_Targeted_Fixed,Fixed,5,1,0.005,0.005,2,1000,0.2,38.33
PGD_Targeted_Fixed,Fixed,5,1,0.01,0.01,7,1000,0.7,36.58
PGD_Targeted_Fixed,Fixed,5,1,0.03,0.03,68,1000,6.8,32.62
PGD_Targeted_Fixed,Fixed,5,1,0.05,0.05,79,1000,7.9,32.56
PGD_Targeted_Fixed,Fixed,5,1,0.1,0.1,79,1000,7.9,31.77
PGD_Targeted_Fixed,Fixed,5,5,0.0002,0.001,0,1000,0.0,94.93
PGD_Targeted_Fixed,Fixed,5,5,0.0006,0.003,0,1000,0.0,95.62
PGD_Targeted_Fixed,Fixed,5,5,0.001,0.005,4,1000,0.4,133.63
PGD_Targeted_Fixed,Fixed,5,5,0.002,0.01,64,1000,6.4,93.15
PGD_Targeted_Fixed,Fixed,5,5,0.006,0.03,824,1000,82.4,89.3
PGD_Targeted_Fixed,Fixed,5,5,0.01,0.05,964,1000,96.4,128.32
PGD_Targeted_Fixed,Fixed,5,5,0.02,0.1,996,1000,99.6,88.41
PGD_Targeted_Fixed,Fixed,5,10,0.0001,0.001,0,1000,0.0,204.77
PGD_Targeted_Fixed,Fixed,5,10,0.0003,0.003,0,1000,0.0,166.1
PGD_Targeted_Fixed,Fixed,5,10,0.0005,0.005,4,1000,0.4,208.01
PGD_Targeted_Fixed,Fixed,5,10,0.001,0.01,78,1000,7.8,163.94
PGD_Targeted_Fixed,Fixed,5,10,0.003,0.03,906,1000,90.6,200.4
PGD_Targeted_Fixed,Fixed,5,10,0.005,0.05,996,1000,99.6,200.33
PGD_Targeted_Fixed,Fixed,5,10,0.01,0.1,1000,1000,100.0,159.29
PGD_Targeted_Fixed,Fixed,5,20,5e-05,0.001,0,1000,0.0,386.57
PGD_Targeted_Fixed,Fixed,5,20,0.00015,0.003,0,1000,0.0,346.9
PGD_Targeted_Fixed,Fixed,5,20,0.00025,0.005,4,1000,0.4,387.32
PGD_Targeted_Fixed,Fixed,5,20,0.0005,0.01,81,1000,8.1,347.01
PGD_Targeted_Fixed,Fixed,5,20,0.0015,0.03,932,1000,93.2,609.02
PGD_Targeted_Fixed,Fixed,5,20,0.0025,0.05,999,1000,99.9,324.36
PGD_Targeted_Fixed,Fixed,5,20,0.005,0.1,1000,1000,100.0,322.21
PGD_Targeted_Fixed,Fixed,5,40,2.5e-05,0.001,0,1000,0.0,609.98
PGD_Targeted_Fixed,Fixed,5,40,7.5e-05,0.003,0,1000,0.0,575.48
PGD_Targeted_Fixed,Fixed,5,40,0.000125,0.005,4,1000,0.4,572.36
PGD_Targeted_Fixed,Fixed,5,40,0.00025,0.01,86,1000,8.6,570.51
PGD_Targeted_Fixed,Fixed,5,40,0.00075,0.03,946,1000,94.6,567.46
PGD_Targeted_Fixed,Fixed,5,40,0.00125,0.05,999,1000,99.9,567.1
PGD_Targeted_Fixed,Fixed,5,40,0.0025,0.1,1000,1000,100.0,566.54
