attack_name,target_mode,num_random_init,max_iter,epsilon,nn1_asr,nn2_asr,nn2_successful,total_images,time_elapsed_s
PGD_Targeted_Fixed,Fixed,0,1,0.001,0.0,0.0,0,1000,10.01
PGD_Targeted_Fixed,Fixed,0,1,0.003,0.0,0.0,0,1000,10.18
PGD_Targeted_Fixed,Fixed,0,1,0.005,0.3,0.0,0,1000,10.04
PGD_Targeted_Fixed,Fixed,0,1,0.01,1.6,0.0,0,1000,10.32
PGD_Targeted_Fixed,Fixed,0,1,0.03,8.0,0.5,5,1000,10.31
PGD_Targeted_Fixed,Fixed,0,1,0.05,8.1,0.5,5,1000,10.16
PGD_Targeted_Fixed,Fixed,0,1,0.1,4.8,1.8,18,1000,10.3
PGD_Targeted_Fixed,Fixed,0,5,0.001,0.0,0.0,0,1000,10.23
PGD_Targeted_Fixed,Fixed,0,5,0.003,0.1,0.0,0,1000,10.02
PGD_Targeted_Fixed,Fixed,0,5,0.005,1.0,0.0,0,1000,10.02
PGD_Targeted_Fixed,Fixed,0,5,0.01,15.2,0.0,0,1000,10.3
PGD_Targeted_Fixed,Fixed,0,5,0.03,90.8,0.8,8,1000,10.38
PGD_Targeted_Fixed,Fixed,0,5,0.05,99.1,2.6,26,1000,10.23
PGD_Targeted_Fixed,Fixed,0,5,0.1,99.8,7.8,78,1000,10.23
PGD_Targeted_Fixed,Fixed,0,10,0.001,0.0,0.0,0,1000,10.37
PGD_Targeted_Fixed,Fixed,0,10,0.003,0.1,0.0,0,1000,10.04
PGD_Targeted_Fixed,Fixed,0,10,0.005,1.0,0.0,0,1000,10.22
PGD_Targeted_Fixed,Fixed,0,10,0.01,18.6,0.0,0,1000,10.17
PGD_Targeted_Fixed,Fixed,0,10,0.03,96.8,0.7,7,1000,10.91
PGD_Targeted_Fixed,Fixed,0,10,0.05,99.9,1.6,16,1000,10.26
PGD_Targeted_Fixed,Fixed,0,10,0.1,100.0,6.3,63,1000,10.14
PGD_Targeted_Fixed,Fixed,0,20,0.001,0.0,0.0,0,1000,9.89
PGD_Targeted_Fixed,Fixed,0,20,0.003,0.1,0.0,0,1000,9.95
PGD_Targeted_Fixed,Fixed,0,20,0.005,1.0,0.0,0,1000,10.11
PGD_Targeted_Fixed,Fixed,0,20,0.01,20.6,0.0,0,1000,10.07
PGD_Targeted_Fixed,Fixed,0,20,0.03,98.5,0.5,5,1000,10.2
PGD_Targeted_Fixed,Fixed,0,20,0.05,100.0,1.3,13,1000,9.83
PGD_Targeted_Fixed,Fixed,0,20,0.1,100.0,3.0,30,1000,10.08
PGD_Targeted_Fixed,Fixed,0,40,0.001,0.0,0.0,0,1000,9.96
PGD_Targeted_Fixed,Fixed,0,40,0.003,0.1,0.0,0,1000,9.98
PGD_Targeted_Fixed,Fixed,0,40,0.005,1.1,0.0,0,1000,10.0
PGD_Targeted_Fixed,Fixed,0,40,0.01,21.7,0.0,0,1000,10.44
PGD_Targeted_Fixed,Fixed,0,40,0.03,98.9,0.6,6,1000,10.14
PGD_Targeted_Fixed,Fixed,0,40,0.05,100.0,1.2,12,1000,10.11
PGD_Targeted_Fixed,Fixed,0,40,0.1,100.0,2.0,20,1000,10.33
PGD_Targeted_Fixed,Fixed,1,1,0.001,0.0,0.0,0,1000,9.96
PGD_Targeted_Fixed,Fixed,1,1,0.003,0.0,0.0,0,1000,10.11
PGD_Targeted_Fixed,Fixed,1,1,0.005,0.2,0.0,0,1000,10.21
PGD_Targeted_Fixed,Fixed,1,1,0.01,0.6,0.0,0,1000,10.24
PGD_Targeted_Fixed,Fixed,1,1,0.03,6.1,0.3,3,1000,9.83
PGD_Targeted_Fixed,Fixed,1,1,0.05,9.3,0.4,4,1000,10.11
PGD_Targeted_Fixed,Fixed,1,1,0.1,6.4,1.0,10,1000,9.93
PGD_Targeted_Fixed,Fixed,1,5,0.001,0.0,0.0,0,1000,9.81
PGD_Targeted_Fixed,Fixed,1,5,0.003,0.0,0.0,0,1000,9.92
PGD_Targeted_Fixed,Fixed,1,5,0.005,0.3,0.0,0,1000,10.21
PGD_Targeted_Fixed,Fixed,1,5,0.01,6.3,0.0,0,1000,9.92
PGD_Targeted_Fixed,Fixed,1,5,0.03,81.9,0.3,3,1000,10.04
PGD_Targeted_Fixed,Fixed,1,5,0.05,96.1,1.2,12,1000,9.96
PGD_Targeted_Fixed,Fixed,1,5,0.1,99.6,4.2,42,1000,10.01
PGD_Targeted_Fixed,Fixed,1,10,0.001,0.0,0.0,0,1000,10.41
PGD_Targeted_Fixed,Fixed,1,10,0.003,0.0,0.0,0,1000,10.01
PGD_Targeted_Fixed,Fixed,1,10,0.005,0.4,0.0,0,1000,10.36
PGD_Targeted_Fixed,Fixed,1,10,0.01,7.5,0.0,0,1000,10.01
PGD_Targeted_Fixed,Fixed,1,10,0.03,90.5,0.1,1,1000,10.56
PGD_Targeted_Fixed,Fixed,1,10,0.05,99.8,0.7,7,1000,9.89
