attack_name,num_random_init,max_iter,epsilon,nn1_accuracy,nn2_accuracy,nn2_correct,total_images,time_elapsed_s
PGD,0,1,0.001,77.1,86.7,867,1000,18.11
PGD,0,1,0.003,45.7,86.7,867,1000,17.95
PGD,0,1,0.005,22.7,79.0,790,1000,17.8
PGD,0,1,0.01,6.8,66.5,665,1000,17.07
PGD,0,1,0.03,1.7,20.2,202,1000,16.65
PGD,0,1,0.05,0.7,6.0,60,1000,17.13
PGD,0,1,0.1,0.1,0.5,5,1000,17.01
PGD,0,5,0.001,76.6,86.6,866,1000,17.81
PGD,0,5,0.003,41.1,86.8,868,1000,17.01
PGD,0,5,0.005,15.5,79.3,793,1000,17.25
PGD,0,5,0.01,2.6,66.2,662,1000,25.36
PGD,0,5,0.03,0.1,19.8,198,1000,25.12
PGD,0,5,0.05,0.1,6.1,61,1000,25.27
PGD,0,5,0.1,0.0,1.0,10,1000,25.35
PGD,0,10,0.001,76.7,86.5,865,1000,22.46
PGD,0,10,0.003,40.3,86.6,866,1000,18.34
PGD,0,10,0.005,15.0,78.7,787,1000,16.86
PGD,0,10,0.01,2.0,65.5,655,1000,18.65
PGD,0,10,0.03,0.1,20.5,205,1000,18.97
PGD,0,10,0.05,0.1,7.5,75,1000,18.96
PGD,0,10,0.1,0.0,2.3,23,1000,24.76
PGD,0,20,0.001,76.7,86.6,866,1000,25.36
PGD,0,20,0.003,40.1,86.6,866,1000,25.91
PGD,0,20,0.005,14.9,78.6,786,1000,25.48
PGD,0,20,0.01,1.8,66.2,662,1000,21.39
PGD,0,20,0.03,0.1,21.7,217,1000,21.43
PGD,0,20,0.05,0.1,10.3,103,1000,24.58
PGD,0,20,0.1,0.0,3.9,39,1000,24.05
PGD,0,40,0.001,76.7,86.6,866,1000,24.02
PGD,0,40,0.003,40.0,86.6,866,1000,19.49
PGD,0,40,0.005,14.7,78.6,786,1000,18.13
PGD,0,40,0.01,1.7,66.0,660,1000,18.24
PGD,0,40,0.03,0.1,22.2,222,1000,17.33
PGD,0,40,0.05,0.1,10.3,103,1000,22.32
PGD,0,40,0.1,0.1,5.1,51,1000,21.9
PGD,1,1,0.001,79.4,86.7,867,1000,21.21
PGD,1,1,0.003,57.2,86.7,867,1000,19.27
PGD,1,1,0.005,36.8,82.9,829,1000,18.54
PGD,1,1,0.01,12.2,73.6,736,1000,17.74
PGD,1,1,0.03,1.9,31.5,315,1000,17.47
PGD,1,1,0.05,1.1,11.0,110,1000,19.24
PGD,1,1,0.1,0.3,1.3,13,1000,24.74
PGD,1,5,0.001,79.1,86.5,865,1000,25.4
PGD,1,5,0.003,54.0,86.7,867,1000,25.75
PGD,1,5,0.005,27.2,82.9,829,1000,25.7
PGD,1,5,0.01,5.2,74.4,744,1000,21.19
PGD,1,5,0.03,0.1,30.4,304,1000,18.47
PGD,1,5,0.05,0.1,11.8,118,1000,18.43
PGD,1,5,0.1,0.0,1.9,19,1000,19.61
PGD,1,10,0.001,78.9,86.7,867,1000,18.83
PGD,1,10,0.003,53.2,86.6,866,1000,17.34
PGD,1,10,0.005,26.0,82.3,823,1000,18.8
PGD,1,10,0.01,4.4,73.2,732,1000,19.15
PGD,1,10,0.03,0.2,31.7,317,1000,18.93
PGD,1,10,0.05,0.1,13.8,138,1000,18.83
