WORKER,max_iter,learning_rate,confidence,Mean_Linf_Applied,Time_Elapsed (s)
Christian,1,0.001,0.0,1e-04,869.69
Christian,1,0.001,0.5,1e-04,645.21
Christian,1,0.001,1.0,1e-04,376.84
Christian,1,0.01,0.0,0.0038,658.98
Christian,1,0.01,0.5,0.0038,662.96
Christian,1,0.01,1.0,0.0038,722.87
Christian,1,0.05,0.0,0.025,1549.35
Christian,1,0.05,0.5,0.025,2250.59
Christian,1,0.05,1.0,0.025,2330.05
Christian,1,0.1,0.0,0.05,2318.07
Christian,1,0.1,0.5,0.05,2225.97
Christian,1,0.1,1.0,0.05,1545.63
Christian,5,0.001,0.0,0.0006,1521.58
Christian,5,0.001,0.5,0.0006,985.7
Christian,5,0.001,1.0,0.0007,1043.78
Christian,5,0.01,0.0,0.0064,1772.27
Christian,5,0.01,0.5,0.0064,5896.76
Christian,5,0.01,1.0,0.0064,3184.96
Christian,5,0.05,0.0,0.025,1842.31
Christian,5,0.05,0.5,0.025,1812.53
Christian,5,0.05,1.0,0.025,1899.33
Christian,5,0.1,0.0,0.05,2006.65
Christian,5,0.1,0.5,0.05,1870.52
Christian,5,0.1,1.0,0.05,1919.83
