experiment,epoch,train_loss,train_accuracy,val_loss,val_accuracy,val_precision,val_recall,val_f1,val_auroc,best_found_so_far
Experiment A — MobileNetV3-Large,1,0.4869,74.7388,0.5706,69.8675,0.8228,0.5115,0.6308,0.7685,False
Experiment A — MobileNetV3-Large,2,0.2254,90.7645,0.5526,73.7583,0.9916,0.4827,0.6493,0.8648,False
Experiment A — MobileNetV3-Large,3,0.0894,96.8305,0.6542,74.8758,0.9935,0.5041,0.6688,0.9074,False
Experiment A — MobileNetV3-Large,4,0.0456,98.4924,0.5293,78.9321,0.9783,0.5946,0.7396,0.9525,False
Experiment A — MobileNetV3-Large,5,0.0247,99.1453,0.4601,81.4156,0.9788,0.6447,0.7774,0.9687,False
Experiment A — MobileNetV3-Large,6,0.0165,99.4539,0.5015,82.5745,0.976,0.6702,0.7947,0.9669,False
Experiment A — MobileNetV3-Large,7,0.0122,99.6201,0.3762,87.7897,0.9675,0.7837,0.866,0.9744,False
Experiment A — MobileNetV3-Large,8,0.0105,99.6676,0.4698,87.5828,0.9771,0.7714,0.8621,0.9742,False
Experiment A — MobileNetV3-Large,9,0.0099,99.6557,0.3115,91.0182,0.9629,0.8544,0.9054,0.9782,False
Experiment A — MobileNetV3-Large,10,0.0089,99.727,0.4672,87.4586,0.9731,0.7722,0.8611,0.9762,False
Experiment A — MobileNetV3-Large,11,0.0047,99.9169,0.4341,89.6109,0.9698,0.8191,0.8881,0.9783,False
Experiment A — MobileNetV3-Large,12,0.012,99.7032,0.4135,89.6109,0.9744,0.815,0.8876,0.9797,False
Experiment A — MobileNetV3-Large,13,0.008,99.8101,0.38,90.356,0.9776,0.8273,0.8962,0.9829,False
Experiment A — MobileNetV3-Large,14,0.007,99.7507,0.3372,92.053,0.9604,0.8783,0.9175,0.9782,False
Experiment A — MobileNetV3-Large,15,0.0063,99.8694,0.4157,90.6457,0.9778,0.8331,0.8996,0.9827,False
Experiment A — MobileNetV3-Large,16,0.0071,99.7745,0.3251,92.4669,0.9726,0.875,0.9212,0.9842,False
Experiment A — MobileNetV3-Large,17,0.0047,99.8338,0.2759,93.005,0.9645,0.8939,0.9279,0.9842,False
Experiment A — MobileNetV3-Large,18,0.0051,99.8694,0.2862,92.6325,0.9701,0.8808,0.9233,0.985,False
Experiment A — MobileNetV3-Large,19,0.0043,99.8694,0.3826,91.3493,0.9763,0.8487,0.9081,0.9842,False
Experiment A — MobileNetV3-Large,20,0.0035,99.8932,0.4285,91.0596,0.9762,0.8429,0.9047,0.9834,False
Experiment A — MobileNetV3-Large,21,0.004,99.9288,0.3031,92.8808,0.9644,0.8914,0.9265,0.9846,False
Experiment A — MobileNetV3-Large,22,0.007,99.8575,0.2868,93.0464,0.9509,0.9087,0.9294,0.9799,False
Experiment A — MobileNetV3-Large,23,0.0036,99.8932,0.2866,93.1291,0.9721,0.889,0.9287,0.9838,False
Experiment A — MobileNetV3-Large,24,0.0018,99.9525,0.2961,93.0877,0.9704,0.8898,0.9284,0.9852,False
Experiment A — MobileNetV3-Large,25,0.003,99.9406,0.38,91.8046,0.9757,0.8586,0.9134,0.9836,False
Experiment A — MobileNetV3-Large,26,0.0012,99.9644,0.4676,91.0182,0.978,0.8405,0.904,0.9829,False
Experiment A — MobileNetV3-Large,27,0.0009,99.9881,0.4753,90.6871,0.9797,0.8322,0.9,0.983,False
Experiment A — MobileNetV3-Large,28,0.001,99.9763,0.31,93.4603,0.9681,0.8997,0.9327,0.9843,False
Experiment A — MobileNetV3-Large,29,0.0014,99.9763,0.4696,91.6391,0.9792,0.852,0.9112,0.9816,False
Experiment A — MobileNetV3-Large,30,0.0055,99.9169,0.235,95.0331,0.959,0.9416,0.9502,0.9842,False
Experiment A — MobileNetV3-Large,31,0.0018,99.9644,0.2478,94.2881,0.9655,0.9194,0.9419,0.9848,False
Experiment A — MobileNetV3-Large,32,0.0034,99.9644,0.3334,92.7566,0.9736,0.8799,0.9244,0.9858,False
Experiment A — MobileNetV3-Large,33,0.0023,99.9525,0.4059,91.3493,0.9773,0.8479,0.908,0.9811,False
Experiment A — MobileNetV3-Large,34,0.007,99.7745,0.2523,93.957,0.9466,0.9326,0.9395,0.9839,False
Experiment A — MobileNetV3-Large,35,0.008,99.7626,0.2196,94.702,0.9618,0.9317,0.9465,0.9863,False
Experiment A — MobileNetV3-Large,36,0.005,99.8219,0.2455,93.957,0.9652,0.9128,0.9383,0.9878,False
Experiment A — MobileNetV3-Large,37,0.003,99.9288,0.228,94.1639,0.9622,0.9202,0.9407,0.9883,False
Experiment A — MobileNetV3-Large,38,0.0014,99.9406,0.2102,94.4536,0.9632,0.9252,0.9438,0.9884,True
Experiment A — MobileNetV3-Large,39,0.0044,99.905,0.2405,94.8675,0.9643,0.9326,0.9482,0.9877,False
Experiment A — MobileNetV3-Large,40,0.0054,99.8813,0.2269,94.6606,0.9602,0.9326,0.9462,0.9872,False
Experiment A — MobileNetV3-Large,41,0.0052,99.8694,0.3341,92.7566,0.9833,0.8709,0.9237,0.9889,False
Experiment A — MobileNetV3-Large,42,0.0054,99.8575,0.2479,94.5364,0.9796,0.9104,0.9437,0.9902,False
Experiment A — MobileNetV3-Large,43,0.0018,99.9644,0.2586,93.7086,0.9776,0.8956,0.9348,0.9904,False
Experiment A — MobileNetV3-Large,44,0.0022,99.9406,0.2127,94.8675,0.9691,0.9276,0.9479,0.9901,False
Experiment A — MobileNetV3-Large,45,0.0063,99.8932,0.2606,93.4603,0.9715,0.8964,0.9324,0.989,False
Experiment A — MobileNetV3-Large,46,0.0039,99.8694,0.2547,93.7914,0.9742,0.9005,0.9359,0.9903,False
Experiment A — MobileNetV3-Large,47,0.003,99.9169,0.2677,93.5017,0.9801,0.889,0.9323,0.9897,False
Experiment A — MobileNetV3-Large,48,0.0008,99.9763,0.2429,93.75,0.975,0.8988,0.9354,0.9906,False
Experiment A — MobileNetV3-Large,49,0.0005,100.0,0.2584,93.7914,0.9759,0.8988,0.9358,0.9903,False
Experiment A — MobileNetV3-Large,50,0.0003,100.0,0.2363,94.3709,0.972,0.9145,0.9424,0.9902,False
